id,x1,x2,x3,x4,c,y,delta
1,1,1,0,0.148412536,0.249794754,0.249794754,0
2,0,-1,1,0.034832941,12.15458868,0.552022856,1
3,0,2,0,1.751229767,9.939744389,2.014355826,1
4,0,-1,1,0.20119845,27.26836009,0.716889524,1
5,1,-4,1,-1.766083035,25.16667885,0.480325798,1
6,1,-3,0,0.652011059,15.0266867,0.036282803,1
7,1,1,0,0.575591108,23.96399378,2.174299926,1
8,0,0,1,2.726316031,26.34381746,0.513599719,1
9,0,3,0,-0.622730191,8.067817055,8.067817055,0
10,0,-3,1,0.398425911,19.16771227,0.079640971,1
11,1,-5,1,-0.069215052,21.9188972,0.003404546,1
12,1,-3,1,-0.464565873,18.33107308,0.238797553,1
13,1,5,0,-1.781698961,1.726697241,1.726697241,0
14,0,2,0,-0.000784656,14.08769506,8.329028131,1
15,0,-3,0,-0.415777114,6.038490229,0.567263087,1
16,0,-3,0,-0.715484064,24.93693085,0.634145389,1
17,1,-3,0,-0.587715418,4.702861926,0.17556426,1
18,0,4,1,1.949988452,21.39971363,2.586632365,1
19,0,-1,0,0.54121349,13.96414428,0.528950463,1
20,1,-5,1,-0.925629361,17.87669546,0.121084466,1
21,1,0,1,-0.089946315,3.105218753,0.475615494,1
22,0,-4,0,0.09607779,17.48566898,0.029093921,1
23,1,4,0,-0.213201708,22.31355088,22.31355088,0
24,0,-1,1,-0.65177876,8.460261226,1.021001906,1
25,1,-5,0,0.358444024,8.36793385,0.028017172,1
26,0,5,0,-1.024919287,25.21114337,7.024242241,1
27,0,1,1,-1.084811452,12.83714843,2.412172093,1
28,1,1,1,0.49434566,19.22692302,0.562235758,1
29,1,1,0,0.947101258,0.893999613,0.893999613,0
30,0,-2,0,-1.808721511,16.36597164,3.386866979,1
31,0,-4,0,-1.222426178,29.37376896,0.218144189,1
32,1,5,0,1.915432665,29.51983592,8.010893224,1
33,1,-1,1,-0.315792044,22.36650344,0.988699907,1
34,0,0,1,-1.526519138,24.24688858,9.400938621,1
35,1,3,0,-1.048313887,7.592650896,7.592650896,0
36,1,4,1,-0.133840756,8.169766597,5.535184261,1
37,1,-3,0,-0.028619469,19.62741154,0.278576233,1
38,1,-1,1,-0.209898801,27.93872907,0.737427589,1
39,0,-4,1,-0.764259117,1.041851244,0.171831012,1
40,0,0,0,0.612594315,4.912419948,0.197781585,1
41,1,3,1,1.691907306,28.30519235,2.172273569,1
42,0,1,1,-1.385547214,9.599984922,4.146863425,1
43,1,4,1,-0.491666024,27.60801359,24.06827668,1
44,0,1,0,-0.251238366,23.81375347,6.435813525,1
45,1,-2,1,0.699891725,17.21341665,0.479346631,1
46,1,0,1,-0.396181405,17.01553708,1.270678841,1
47,0,5,1,0.348088543,2.279499799,2.279499799,0
48,0,0,0,2.195781094,20.17917955,0.829103306,1
49,1,5,0,0.25459013,2.479727631,2.479727631,0
50,0,4,0,-0.50094611,24.92010055,4.45356848,1
51,0,-3,1,-0.323309061,11.11102124,0.171002999,1
52,0,2,0,0.40853489,4.95361564,4.95361564,0
53,0,1,1,0.805787308,23.96739596,0.239101571,1
54,0,2,0,-0.016153113,1.412494204,1.412494204,0
55,0,-1,1,-0.666768626,18.74116319,0.654898449,1
56,1,3,0,0.343679924,24.05689561,5.329071982,1
57,0,1,1,0.05412444,20.85112656,1.287240044,1
58,0,-3,1,0.642931035,28.03989565,0.078089704,1
59,1,-4,0,0.629598709,5.316482561,0.073331081,1
60,1,-2,0,1.247661717,22.49289302,0.086281451,1
61,1,1,0,-0.039701653,21.21538404,6.517920735,1
62,1,0,0,-0.365972942,5.885189432,0.784986305,1
63,1,-1,1,-0.174250136,20.98937477,0.493683615,1
64,1,0,0,-1.081544448,17.32774121,5.052227868,1
65,0,5,1,0.834909461,18.59112911,18.59112911,0
66,1,-3,1,-0.211216512,3.12341115,0.191100163,1
67,0,-3,1,0.161822365,26.06462688,0.21250093,1
68,0,3,0,0.131600985,16.98225887,16.98225887,0
69,0,-2,0,-0.718100287,19.64403925,1.069566014,1
70,1,3,1,-0.758732026,6.52261843,6.327764833,1
71,0,3,0,-0.158196051,18.7880399,3.611021739,1
72,1,-5,0,-0.005730043,1.807177551,0.172091081,1
73,0,-5,1,1.87974928,1.154045938,0.010990548,1
74,0,-2,0,1.197022352,18.07027936,0.637800576,1
75,0,-3,0,-0.007747931,23.05852465,0.867054171,1
76,1,-4,0,-0.841548774,18.30931948,0.162412299,1
77,1,5,0,0.206152736,14.75432844,14.75432844,0
78,1,5,1,0.006010188,19.32849025,19.32849025,0
79,0,4,1,-0.560669382,3.513199438,3.513199438,0
80,0,-4,0,-0.414173826,11.4972215,0.326305254,1
81,1,4,1,-0.92019657,17.31085871,17.31085871,0
82,0,2,1,-0.205686699,28.54971663,4.965899811,1
83,0,-4,0,1.287827066,7.617353825,0.103061227,1
84,0,5,0,-0.323645428,2.050844359,2.050844359,0
85,1,5,1,0.48449424,14.92130622,14.92130622,0
86,1,-1,1,-0.935176946,18.77861436,1.22693226,1
87,1,-1,0,0.533588559,16.02346485,0.916875751,1
88,0,1,1,-1.823683554,8.169842754,8.169842754,0
89,1,-1,1,0.847936816,10.38633354,0.259398439,1
90,0,-2,1,-1.796594888,7.340467656,0.815472623,1
91,1,4,0,1.425921726,29.51732009,15.88321303,1
92,1,1,1,1.106760606,21.77101577,0.636447464,1
